date,India
28/12/2021,302
29/12/2021,268
30/12/2021,220
31/12/2021,406
01/01/2022,284
02/01/2022,123
03/01/2022,124
04/01/2022,534
05/01/2022,325
06/01/2022,302
07/01/2022,285
08/01/2022,327
09/01/2022,146
10/01/2022,277
11/01/2022,442
12/01/2022,380
13/01/2022,411
14/01/2022,306
15/01/2022,314
16/01/2022,385
17/01/2022,310
18/01/2022,441
19/01/2022,491
20/01/2022,703
21/01/2022,488
22/01/2022,525
23/01/2022,439
24/01/2022,614
25/01/2022,665
26/01/2022,573
27/01/2022,627
28/01/2022,871
29/01/2022,893
30/01/2022,959
31/01/2022,1192
01/02/2022,1733
02/02/2022,1008
03/02/2022,1072
04/02/2022,1059
05/02/2022,865
06/02/2022,895
07/02/2022,1188
08/02/2022,1217
09/02/2022,1241
10/02/2022,657
11/02/2022,804
12/02/2022,684
13/02/2022,346
14/02/2022,347
15/02/2022,514
16/02/2022,541
17/02/2022,492
18/02/2022,325
19/02/2022,673
20/02/2022,206
21/02/2022,235
22/02/2022,278
23/02/2022,302
24/02/2022,302
25/02/2022,255
26/02/2022,243
27/02/2022,119
28/02/2022,180
01/03/2022,223
02/03/2022,142
03/03/2022,201
04/03/2022,289
05/03/2022,158
06/03/2022,66
07/03/2022,108
08/03/2022,145
09/03/2022,104
10/03/2022,255
11/03/2022,89
12/03/2022,47
13/03/2022,27
14/03/2022,97
15/03/2022,98
16/03/2022,60
